2017-11-13 11:14:43,881 logger.py[line:22] collect 催回率数据删除状态-6!(2017-11-13)
2017-11-13 11:14:43,887 logger.py[line:20] database (1241, 'Operand should contain 1 column(s)')
2017-11-13 11:14:43,887 logger.py[line:22] collect 催回率数据更新状态-1！(2017-11-13)！
2017-11-13 11:16:37,229 logger.py[line:22] collect 催回率数据删除状态-6!(2017-11-13)
2017-11-13 11:16:37,236 logger.py[line:20] database (1241, 'Operand should contain 1 column(s)')
2017-11-13 11:16:37,236 logger.py[line:22] collect 催回率数据更新状态-1！(2017-11-13)！
2017-11-13 11:17:09,173 logger.py[line:22] collect 催回率数据删除状态-6!(2017-11-13)
2017-11-13 11:17:09,178 logger.py[line:20] database (1292, "Incorrect date value: '2017-11' for column 'month' at row 1")
2017-11-13 11:17:09,181 logger.py[line:20] database (1292, "Incorrect date value: '2017-10' for column 'month' at row 1")
2017-11-13 11:17:09,181 logger.py[line:20] database (1292, "Incorrect date value: '2017-09' for column 'month' at row 1")
2017-11-13 11:17:09,181 logger.py[line:20] database (1292, "Incorrect date value: '2017-08' for column 'month' at row 1")
2017-11-13 11:17:09,181 logger.py[line:20] database (1292, "Incorrect date value: '2017-07' for column 'month' at row 1")
2017-11-13 11:17:09,183 logger.py[line:20] database (1292, "Incorrect date value: '2017-06' for column 'month' at row 1")
2017-11-13 11:17:09,183 logger.py[line:20] database (1292, "Incorrect date value: '2017-05' for column 'month' at row 1")
2017-11-13 11:17:09,183 logger.py[line:20] database (1292, "Incorrect date value: '2017-04' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2017-03' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2017-02' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2017-01' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2016-12' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2016-11' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:20] database (1292, "Incorrect date value: '2016-10' for column 'month' at row 1")
2017-11-13 11:17:09,184 logger.py[line:22] collect 催回率数据更新状态-1！(2017-11-13)！
2017-11-13 11:17:47,767 logger.py[line:22] collect 催回率数据删除状态-6!(2017-11-13)
2017-11-13 11:17:47,792 logger.py[line:22] collect 催回率数据更新状态-6！(2017-11-13)！
2017-11-13 11:46:54,704 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-15)
2017-11-13 11:46:56,111 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-16)
2017-11-13 11:46:57,867 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-17)
2017-11-13 11:46:59,237 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-18)
2017-11-13 11:47:00,854 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-19)
2017-11-13 11:47:02,282 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-20)
2017-11-13 11:47:03,628 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-21)
2017-11-13 11:47:05,002 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-22)
2017-11-13 11:47:06,365 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-23)
2017-11-13 11:47:07,776 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-24)
2017-11-13 11:47:09,316 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-25)
2017-11-13 11:47:10,716 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-26)
2017-11-13 11:47:12,102 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-27)
2017-11-13 11:47:13,487 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-28)
2017-11-13 11:47:14,865 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-29)
2017-11-13 11:47:16,276 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-04-30)
2017-11-13 11:47:17,609 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-01)
2017-11-13 11:47:19,052 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-02)
2017-11-13 11:47:20,427 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-03)
2017-11-13 11:47:21,759 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-04)
2017-11-13 11:47:23,111 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-05)
2017-11-13 11:47:24,506 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-06)
2017-11-13 11:47:25,907 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-07)
2017-11-13 11:47:27,584 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-08)
2017-11-13 11:47:29,601 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-09)
2017-11-13 11:47:31,414 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-10)
2017-11-13 11:47:32,867 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-11)
2017-11-13 11:47:34,355 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-12)
2017-11-13 11:47:36,101 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-13)
2017-11-13 11:47:37,507 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-14)
2017-11-13 11:47:38,928 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-15)
2017-11-13 11:47:40,338 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-16)
2017-11-13 11:47:42,017 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-17)
2017-11-13 11:47:43,423 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-18)
2017-11-13 11:47:44,801 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-19)
2017-11-13 11:47:46,214 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-20)
2017-11-13 11:47:47,673 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-21)
2017-11-13 11:47:50,017 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-22)
2017-11-13 11:47:51,404 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-23)
2017-11-13 11:47:52,803 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-24)
2017-11-13 11:47:54,206 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-25)
2017-11-13 11:47:55,615 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-26)
2017-11-13 11:47:57,035 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-27)
2017-11-13 11:47:58,743 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-28)
2017-11-13 11:48:00,201 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-29)
2017-11-13 11:48:01,573 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-30)
2017-11-13 11:48:02,973 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-05-31)
2017-11-13 11:48:04,697 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-01)
2017-11-13 11:48:06,072 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-02)
2017-11-13 11:48:07,450 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-03)
2017-11-13 11:48:09,154 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-04)
2017-11-13 11:48:10,556 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-06-05)
